,Question,correct,optA,optB,optC,optD,explanation,lang,source,usedFor,sectionType,cat_num,direction
10,What is the theme of World Milk Day in India?, B,Beyond Nutrition,Drink Milk: Today & Everyday,Dairy Is A Building Block of Life,Drink Move Be Strong,"The World Milk Day event does not follow a specific theme in the world. Different countries, governments, and non-governmental organisations decide their own theme. The theme for World Milk Day 2019 in India is ""Drink Milk: Today & Everyday"". Various campaigns are organised in India at the Indian Veterinary Research Institute (IVRI), Izatnagar, Bareilly, Uttar Pradesh and focuses on safe, hygiene milk production and consumption.",ENG,,,GK,1.1,
11,Which State recently banned the advertisement and sale of e-cigarettes in the State?, D,Madhya Pradesh,Odisha,Gujarat,Rajasthan,"Rajasthan Chief Minister Ashok Gehlot announced the banned on the sale of e-cigarettes in Rajasthan. Gehlot issued the order on the occasion of World No Tobacco Day on May 31. The government has banned the online or offline sale, storage, production, distribution, and advertisement of e-cigarettes in the state. The CM said that the ban follows his party's manifesto to discourage the youth from addiction.",ENG,,,GK,1.1,
12,Who is the Chief Minister of Rajasthan?, C,Vijay Rupani,Vasundhara Raje,Ashok Gehlot ,Anandiben Patel,"Ashok Gehlot is an Indian politician, currently serving his third term as Chief Minister of Rajasthan since December 2018.",ENG,,,GK,1.1,
13,Facebook's cryptocurrency _________ will launched in 2020., A,Globalcoin,Litecoin,Namecoin,Auroracoin,"Facebook plans to launch its cryptocurrency by the first quarter of 2020. The company is expected to reveal more details about the currency before testing begins later in 2019. The currency, which is being referred to internally as “GlobalCoin,” will reportedly be available in around a dozen countries at launch, where it’s expected to offer people affordable and secure payments without the need for a bank account.",ENG,,,GK,1.1,
14, New species of wasp from genus ________ was identified in Goa., B,Ichneumon,Kudakrumia ,Bembix,Vespula,"Scientists have recently identified a new species of wasp from the genus Kudakrumia in Goa. The wasp, Kudakrumia rangnekari, has been named after Goa-based researcher Parag Rangnekar. It belongs to genus Kudakrumia. The Kudakrumia is a genus of primitive wasps that is described and previously known only from Sri Lanka. The new species was collected Cotigao Wildlife sanctuary. The Cotigao Wildlife Sanctuary is located in South Goa district, of Goa. The sanctuary was established in 1968.",ENG,,,GK,1.1,
15,"Under ICD, World Health Organization (WHO) has categorized being transgender as _________.", B,mental disorder,sexual health condition,genetic disorder,Both A & B,"The World Health Organization (WHO) will no longer categorise being transgender as a “mental disorder”. According to the newly-revised version of the International Classification of Diseases (known as ICD-11), published by the WHO, “gender identity disorders” have been reframed as “gender incongruence."" Gender incongruence has now been listed under sexual health conditions.",ENG,,,GK,1.1,
16,Reserve Bank of India permitted Banks to use _________ only for DBT accounts for KYC requirements, B,PAN,Aadhaar ,Voter ID,Ration ID,"Reserve Bank of India permitted Banks to
use Aadhaar only for DBT accounts for KYC requirements.",ENG,,,GK,1.1,
17,Honda Motorcycle partnered with __________ for retail financing	, A,IDFC Bank,Axis Bank,State Bank of India,Yes Bank,Honda Motorcycle partnered with IDFC Bank for retail financing.,ENG,,,GK,1.1,
18,Which ministry launched a song Hawa Aane De to spread awareness ?, A,Environment Ministry,Ministry of External Affairs,Ministry of Finance,Ministry of Internal Affairs,Environment Ministry launched a song Hawa Aane De to spread awareness.,ENG,,,GK,1.1,
19,"Tenth National Science Film Festival of India to be held in Agartala, Tripura in _____________", A,2020,2019,2021,2022,"Tenth National Science Film Festival of India to be held in Agartala, Tripura in
2020.",ENG,,,GK,1.1,
20,________ signs MoU with ISRO to set up space technology, A,IIT Guwahati ,IIT Mumbai,IIT Chennai,IIT Roorkela,IIT Guwahati signs MoU with ISRO to set up space technology.,ENG,,,GK,1.1,
21,SWIFT India and South Asia Conference was held in ___________, A,Mumbai,Chennai,Hyderabad,Secunderabad,SWIFT India and South Asia Conference was held in Mumbai,ENG,,,GK,1.1,
