,Question,correct,optA,optB,optC,optD,explanation,lang,source,usedFor,sectionType,cat_num,direction
10,Which Country is not a BIMSTEC country?, A,China ,Myanmar,Sri Lanka,Bangladesh,"The BIMSTEC member states—Bangladesh, India, Myanmar, Sri Lanka, Thailand , Nepal and Bhutan—are among the countries dependent on the Bay of Bengal. Fourteen priority sectors of cooperation have been identified and several BIMSTEC centres have been established to focus on those sectors.
Secretariat: Dhaka, Bangladesh",ENG,,,GK,1.1,
11,"Goldman Sachs is to invest $250 million to construct one of its largest global workspaces in ________, India.", B,Kolkata,Bengaluru,Mumbai,Chennai,"New York-based investment and financial services major Goldman Sachs has pumped in $250 million to construct one of its largest global workspaces in Bengaluru. Bengaluru, with 2,500 techies, is the second-largest engineering talent base of Goldman Sachs after New York.",ENG,,,GK,1.1,
12,Tata Steel is to acquireBhushan Energy Ltd. for about _________., D,Rs.200 crore,Rs.400 crore,Rs.500 crore,Rs.800 crore,The National Company Law Tribunal (NCLT) approved the resolution plan of Tata Steel to acquire debt-ridden Bhushan Energy Ltd. for about Rs.800 crore on 30 May. The principal bench of NCLT-Delhi also rejected objections from Bhushan Energy’s former promoter Neeraj Singal opposing Tata Steels’ bid.,ENG,,,GK,1.1,
13,"Who governed the oath of office to Y S Jaganmohan Reddy, the CM of Andhra Pradesh?", A,E.S.L. Narasimhan,K. Chandrashekar Rao,Narasimhan,Vajubhai Vala,"Y S Jaganmohan Reddy, who got a massive mandate for his party YSRCP in the Assembly elections, was sworn in as second Chief Minister of Andhra Pradesh after bifurcation on 30 May. Governor E.S.L. Narasimhan administered the oath to Mr. Jagan at the Indira Gandhi Municipal Stadium, Vijayawada, Andhra Pradesh.",ENG,,,GK,1.1,
14,Who has sworn-in as the Chief Minister of Andhra Pradesh?, B,E.S.L. Narasimhan,Y S Jaganmohan Reddy,N. Chandrababu Naidu,Koramutla Sreenivasulu,"Y S Jaganmohan Reddy, who got a massive mandate for his party YSRCP in the Assembly elections, was sworn in as second Chief Minister of Andhra Pradesh after bifurcation on 30 May. Governor E.S.L. Narasimhan administered the oath to Mr. Jagan at the Indira Gandhi Municipal Stadium, Vijayawada, Andhra Pradesh.",ENG,,,GK,1.1,
15,Y S Jaganmohan Reddy is the _______ Chief Minister after bifurcation., B,1st,2nd,3rd,4th,Y S Jaganmohan Reddy is the 2nd Chief Minister after bifurcation. The first CM after bifurcation is N.Chandrababu Naidu.,ENG,,,GK,1.1,
16,"Binny, India's last Orangutan dies at Nandankanan Zoological Park. Where is the Nandankanan Zoological Park located?", D,Assam,Gujarat,Maharashtra,Odisha,"Binny, 41-year-old orangutan, at Odisha's Nandankanan Zoological Park died on 29 May following a prolonged illness. she was suffering from cold and old age related respiratory tract issues. ",ENG,,,GK,1.1,
17,What is the IUCN status of Sumatran and Bornean species Orangutan?, B,Endangered,Critically endangered,Vulnerable,Data Inadequate,The Sumatran and Bornean species Orangutan are both critically endangered according to the IUCN Red List of mammals.,ENG,,,GK,1.1,
18,_________ appointed as the Prime Minister of Papua New Guinea, A,James Marape,Sam Abal,Bill Skate,Rabbie Namaliu,James Marape appointed as the Prime Minister of Papua New Guinea,ENG,,,GK,1.1,
19,_________________ of Indore got International Status , B,Raja Bhoj International Airport ,Devi Ahilyabai Holkar Airport  ,Rajmata Vijaya Raje ,Scindia Air Terminal  Dumna Airport,Devi Ahilyabai Holkar Airport of Indore got International Status. ,ENG,,,GK,1.1,
